kargo_id,satis_id,alici_adi,sehir,kargo_durumu,kargoya_verilis_tarihi,teslimat_tarihi
KRG-1000,1000,Fatma A.,İzmir,Teslim Edildi,2025-05-13,2025-05-14
KRG-1001,1001,Ayşe K.,Samsun,Teslim Edildi,2025-05-13,2025-05-16
KRG-1002,1002,Fatma A.,Adana,Teslim Edildi,2025-05-13,2025-05-14
KRG-1003,1003,Ali M.,Eskişehir,Teslim Edildi,2025-05-12,2025-05-15
KRG-1004,1004,Mehmet D.,Eskişehir,Teslim Edildi,2025-05-13,2025-05-15
KRG-1005,1005,Ayşe K.,Ankara,Teslim Edildi,2025-05-13,2025-05-14
KRG-1006,1006,Cemre Y.,Antalya,Teslim Edildi,2025-05-12,2025-05-14
KRG-1007,1007,Ayşe K.,Eskişehir,Teslim Edildi,2025-05-12,2025-05-13
KRG-1008,1008,Cemre Y.,Balıkesir,Teslim Edildi,2025-05-13,2025-05-14
KRG-1009,1009,Fatma A.,Antalya,Teslim Edildi,2025-05-13,2025-05-15
KRG-1010,1010,Burak T.,Antalya,Teslim Edildi,2025-05-13,2025-05-14
KRG-1011,1011,Elif S.,Balıkesir,Teslim Edildi,2025-05-13,2025-05-16
KRG-1012,1012,Ayşe K.,Samsun,Teslim Edildi,2025-05-12,2025-05-14
KRG-1013,1013,Mehmet D.,Kocaeli,Teslim Edildi,2025-05-12,2025-05-15
KRG-1014,1014,Ali M.,Bursa,İade Teslim Alındı,2025-05-13,2025-05-16
KRG-1015,1015,Fatma A.,İstanbul,Teslim Edildi,2025-05-14,2025-05-17
KRG-1016,1016,Fatma A.,Samsun,Teslim Edildi,2025-05-13,2025-05-16
KRG-1017,1017,Zeynep C.,Eskişehir,Teslim Edildi,2025-05-13,2025-05-14
KRG-1018,1018,Caner B.,İzmir,Teslim Edildi,2025-05-13,2025-05-15
KRG-1019,1019,Cemre Y.,Eskişehir,Teslim Edildi,2025-05-13,2025-05-14
KRG-1020,1020,Mehmet D.,Adana,Teslim Edildi,2025-05-13,2025-05-15
KRG-1021,1021,Mehmet D.,İzmir,Teslim Edildi,2025-05-14,2025-05-16
KRG-1022,1022,Burak T.,Eskişehir,Teslim Edildi,2025-05-14,2025-05-15
KRG-1023,1023,Ali M.,İstanbul,Teslim Edildi,2025-05-14,2025-05-16
KRG-1024,1024,Caner B.,Balıkesir,Teslim Edildi,2025-05-13,2025-05-16
KRG-1025,1025,Ahmet Y.,Antalya,Teslim Edildi,2025-05-14,2025-05-17
KRG-1026,1026,Ayşe K.,Antalya,Teslim Edildi,2025-05-13,2025-05-16
KRG-1027,1027,Mehmet D.,Balıkesir,Teslim Edildi,2025-05-13,2025-05-16
KRG-1028,1028,Ahmet Y.,Samsun,Teslim Edildi,2025-05-13,2025-05-14
KRG-1029,1029,Caner B.,Bursa,Teslim Edildi,2025-05-14,2025-05-16
KRG-1030,1030,Ayşe K.,Kocaeli,Teslim Edildi,2025-05-15,2025-05-18
KRG-1031,1031,Mehmet D.,İzmir,İade Teslim Alındı,2025-05-14,2025-05-17
KRG-1033,1033,Fatma A.,Adana,Teslim Edildi,2025-05-15,2025-05-16
KRG-1034,1034,Caner B.,Eskişehir,Teslim Edildi,2025-05-14,2025-05-15
KRG-1035,1035,Zeynep C.,Ankara,Teslim Edildi,2025-05-16,2025-05-18
KRG-1036,1036,Cemre Y.,Adana,Teslim Edildi,2025-05-16,2025-05-17
KRG-1037,1037,Ahmet Y.,Bursa,Teslim Edildi,2025-05-15,2025-05-18
KRG-1038,1038,Ayşe K.,Adana,Teslim Edildi,2025-05-16,2025-05-17
KRG-1039,1039,Ali M.,İzmir,Teslim Edildi,2025-05-16,2025-05-18
KRG-1040,1040,Zeynep C.,Bursa,Teslim Edildi,2025-05-16,2025-05-17
KRG-1041,1041,Ayşe K.,Ankara,Teslim Edildi,2025-05-16,2025-05-17
KRG-1042,1042,Zeynep C.,İstanbul,Teslim Edildi,2025-05-15,2025-05-18
KRG-1043,1043,Ahmet Y.,Eskişehir,İade Teslim Alındı,2025-05-16,2025-05-19
KRG-1044,1044,Fatma A.,Bursa,Teslim Edildi,2025-05-16,2025-05-19
KRG-1045,1045,Mehmet D.,Antalya,Teslim Edildi,2025-05-16,2025-05-18
KRG-1046,1046,Zeynep C.,Adana,Teslim Edildi,2025-05-15,2025-05-16
KRG-1047,1047,Ahmet Y.,Ankara,Teslim Edildi,2025-05-16,2025-05-17
KRG-1048,1048,Burak T.,Kocaeli,Teslim Edildi,2025-05-15,2025-05-16
KRG-1049,1049,Mehmet D.,Eskişehir,Teslim Edildi,2025-05-15,2025-05-18
KRG-1050,1050,Caner B.,Eskişehir,Teslim Edildi,2025-05-16,2025-05-19
KRG-1051,1051,Zeynep C.,İzmir,Teslim Edildi,2025-05-17,2025-05-20
KRG-1052,1052,Cemre Y.,Adana,Teslim Edildi,2025-05-16,2025-05-18
KRG-1053,1053,Cemre Y.,Kocaeli,Teslim Edildi,2025-05-17,2025-05-20
KRG-1054,1054,Ahmet Y.,Adana,Teslim Edildi,2025-05-17,2025-05-20
KRG-1055,1055,Fatma A.,Eskişehir,Teslim Edildi,2025-05-18,2025-05-21
KRG-1056,1056,Cemre Y.,Samsun,Teslim Edildi,2025-05-17,2025-05-20
KRG-1057,1057,Cemre Y.,Samsun,Teslim Edildi,2025-05-17,2025-05-20
KRG-1059,1059,Burak T.,İzmir,Teslim Edildi,2025-05-18,2025-05-21
KRG-1060,1060,Ayşe K.,İstanbul,Teslim Edildi,2025-05-18,2025-05-19
KRG-1061,1061,Ayşe K.,Adana,İade Teslim Alındı,2025-05-18,2025-05-20
KRG-1062,1062,Ayşe K.,Bursa,Teslim Edildi,2025-05-17,2025-05-19
KRG-1063,1063,Caner B.,Samsun,Teslim Edildi,2025-05-17,2025-05-20
KRG-1064,1064,Caner B.,Ankara,Teslim Edildi,2025-05-19,2025-05-22
KRG-1065,1065,Ayşe K.,Adana,Teslim Edildi,2025-05-18,2025-05-21
KRG-1066,1066,Elif S.,Bursa,Teslim Edildi,2025-05-18,2025-05-21
KRG-1067,1067,Zeynep C.,Antalya,Teslim Edildi,2025-05-19,2025-05-22
KRG-1068,1068,Burak T.,Antalya,Teslim Edildi,2025-05-18,2025-05-19
KRG-1069,1069,Caner B.,İzmir,Teslim Edildi,2025-05-19,2025-05-20
KRG-1070,1070,Ali M.,İstanbul,Teslim Edildi,2025-05-18,2025-05-21
KRG-1072,1072,Cemre Y.,Adana,Teslim Edildi,2025-05-19,2025-05-21
KRG-1073,1073,Elif S.,İstanbul,Teslim Edildi,2025-05-18,2025-05-19
KRG-1074,1074,Ayşe K.,Balıkesir,Teslim Edildi,2025-05-19,2025-05-21
KRG-1075,1075,Cemre Y.,İzmir,Teslim Edildi,2025-05-18,2025-05-19
KRG-1076,1076,Mehmet D.,Eskişehir,Teslim Edildi,2025-05-18,2025-05-21
KRG-1077,1077,Burak T.,Bursa,Teslim Edildi,2025-05-18,2025-05-19
KRG-1078,1078,Burak T.,İstanbul,Teslim Edildi,2025-05-19,2025-05-20
KRG-1079,1079,Elif S.,Antalya,Teslim Edildi,2025-05-18,2025-05-19
KRG-1080,1080,Ahmet Y.,Bursa,Teslim Edildi,2025-05-19,2025-05-22
KRG-1081,1081,Caner B.,Balıkesir,Teslim Edildi,2025-05-18,2025-05-20
KRG-1082,1082,Elif S.,İstanbul,Teslim Edildi,2025-05-19,2025-05-20
KRG-1083,1083,Cemre Y.,Antalya,İade Teslim Alındı,2025-05-18,2025-05-21
KRG-1084,1084,Elif S.,Eskişehir,Teslim Edildi,2025-05-19,2025-05-21
KRG-1085,1085,Cemre Y.,Bursa,Teslim Edildi,2025-05-19,2025-05-21
KRG-1086,1086,Ali M.,Bursa,Teslim Edildi,2025-05-20,2025-05-21
